scoring	0.0 Hz	1.2 Hz	2.5 Hz	3.7 Hz	5.0 Hz	6.2 Hz	7.5 Hz	8.7 Hz	10.0 Hz	11.2 Hz	12.5 Hz	13.7 Hz	15.0 Hz	16.2 Hz	17.5 Hz	18.7 Hz	20.0 Hz	21.2 Hz	22.5 Hz	23.7 Hz	25.0 Hz	26.2 Hz	27.5 Hz	28.7 Hz	30.0 Hz	31.2 Hz	32.5 Hz	33.7 Hz	34.9 Hz	36.2 Hz	37.4 Hz	38.7 Hz	39.9 Hz	41.2 Hz	42.4 Hz	43.7 Hz	44.9 Hz	46.2 Hz	47.4 Hz	48.7 Hz	signal	motion	accelerometer
na	12.079	81.783	217.812	243.105	199.804	132.538	190.012	403.361	611.085	149.678	104.723	65.788	50.17	26.995	53.208	44.369	52.662	30.202	21.785	38.557	20.586	18.751	20.169	27.451	25.299	16.899	16.09	9.683	8.99	12.252	5.203	8.582	8.972	3.412	5.476	3.579	3.099	2.586	1.541	2.317	48.883	0.198	0.198
na	8.126	81.005	189.773	216.345	139.918	164.283	248.8	549.504	439.683	154.449	80.804	39.862	36.973	51.576	45.549	44.076	64.613	34.769	32.124	28.855	26.478	22.879	18.763	17.583	15.26	9.859	16.752	15.718	10.965	10.583	6.142	7.18	4.272	4.22	4.197	2.034	2.606	2.675	2.439	1.73	47.451	0.163	0.163
na	9.229	93.722	166.966	251.196	171.53	189.628	341.831	429.642	346.525	181.298	85.276	58.269	58.097	33.901	32.502	38.311	46.261	43.023	26.609	21.695	28.296	17.187	18.563	15.14	17.843	9.249	9.73	10.49	11.719	9.188	4.132	5.636	5.558	3.951	5.286	3.104	3.65	1.851	2.358	2.147	47.704	0.137	0.137
na	11.334	64.502	217.91	290.114	367.53	483.421	485.227	378.286	237.207	185.146	88.387	50.638	61.975	64.965	59.76	41.287	29.495	28.258	23.907	23.748	28.804	17.789	13.757	17.829	15.157	11.053	12.834	10.15	12.521	7.79	6.43	6.409	6.421	4.646	2.08	2.158	3.022	3.084	1.968	1.749	51.837	0.118	0.118
na	7.961	68.572	250.812	256.937	235.836	250.561	443.555	508.633	345.797	116.835	78.252	48.485	43.824	54.832	32.631	26.484	34.333	26.818	33.235	9.169	17.784	18.608	18.077	16.99	16.316	11.587	10.294	8.728	9.175	8.468	8.148	3.997	5.846	5.12	2.153	3.816	3.04	2.671	1.332	1.628	49.916	0.104	0.104
na	9.661	84.661	278.584	166.895	263.894	273.523	284.815	648.108	404.425	127.256	84.017	55.726	54.992	41.57	36.967	42.894	35.503	24.476	34.774	34.817	21.289	20.867	19.173	24.846	12.031	16.385	22.205	11.235	9.011	5.719	8.818	6.452	5.13	4.593	2.984	3.618	2.439	1.471	2.266	3.044	51.294	0.133	0.133
na	10.749	69.513	161.659	224.068	253.974	215.649	294.725	630.781	455.526	179.865	114.518	61.047	34.874	45.56	34.107	41.19	33.932	40.839	20.08	24.976	30.446	24.144	16.385	23.164	20.852	12.623	18.741	11.329	8.989	10.731	7.129	9.188	5.798	3.825	4.522	4.192	2.462	3.117	2.468	2.208	50.899	0.173	0.173
na	13.595	91.057	271.781	170.684	301.849	397.363	520.829	394.594	346.625	148.128	117.537	85.335	72.884	60.279	37.901	39.97	38.196	28.808	31.238	24.136	20.705	14.82	14.378	20.627	16.935	13.245	9.24	8.167	6.927	10.303	5.977	6.056	4.398	3.678	3.496	3.188	3.38	2.728	1.698	2.105	52.610	0.122	0.122
na	9.035	88.25	183.761	152.701	261.768	361.402	337.343	313.409	281.773	128.778	58.076	48.975	46.77	35.831	44.632	39.355	29.539	33.271	37.968	25.855	21.207	22.501	13.064	20.158	15.132	15.265	11.536	8.797	9.019	9.82	5.619	5.002	4.592	3.354	3.778	3.119	2.752	2.264	2.116	1.352	46.632	0.182	0.182
na	5.701	48.912	211.07	324.29	995.801	674.027	338.164	256.228	172.234	129.247	105.387	74.184	38.173	49.537	35.127	45.867	52.186	37.32	36.173	20.811	18.333	16.206	15.628	14.579	9.558	10.755	8.677	7.156	7.426	7.583	3.192	3.692	4.654	2.563	2.362	2.191	1.886	1.616	1.098	1.118	54.444	0.086	0.086
na	14.628	53.373	218.934	378.222	595.406	420.136	220.835	349.844	170.272	142.972	95.443	52.128	61.23	51.692	44.261	46.384	24.605	33.612	34.814	23.227	20.741	15.233	18.45	11.388	12.987	9.641	7.407	8.623	4.539	5.145	3.931	3.774	4.819	2.636	3.177	1.967	2.027	1.792	1.174	1.416	50.064	0.088	0.088
na	8.301	63.416	331.48	292.409	371.607	351.247	591.643	313.224	224.24	172.433	95	99.09	34.412	61.048	52.865	41.734	39.065	35.618	16.538	29.833	29.977	15.831	14.341	11.868	18.725	15.138	11.293	7.151	7.693	5.725	5.322	3.543	3.74	4.312	3.491	2.563	2.592	1.418	1.854	1.141	51.855	0.106	0.106
na	7.045	54.714	223.189	184.266	142.859	193.209	245.936	578.183	410.877	163.633	79.477	60.06	33.977	37.598	44.01	38.662	45.947	31.003	18.078	26.064	29.303	14.154	24.08	16.102	11.742	8.723	9.846	7.725	7.937	9.865	8.418	6.014	3.623	2.39	2.345	3.173	1.572	2.097	2.25	1.135	48.004	0.121	0.121
na	4.736	48.623	203.459	190.723	211.148	337.744	288.551	683.545	219.326	147.178	90.219	74.23	46.617	65.703	28.139	52.136	28.77	24.641	19.571	40.74	20.342	19.203	17.422	18.244	15.005	11.382	14.701	8.793	5.121	9.162	5.522	7.149	6.826	4.222	4.905	2.554	2.837	2.465	2.246	2.153	49.237	0.181	0.181
